Comment,Sentiment
Pahla kadam outhane k liye kay care,Neutral
2025 attendance 😅,Neutral
Muche india ka Naam Aage lana Hai koi Aisa chize bana kar in sha Allah pura hoga ❤,Neutral
Im from ECE BRACH CAN I GET TECH PLACEMENT,Neutral
I am only 11 years and my father is telling me to learn a free course.I am being forced 😢😢😢,Positive
2024,Neutral
My department is IT so I am learning to be besic programming fundamental,Neutral
"Topic is what ever, but your smile is superb ❤",Positive
❤❤❤,Neutral
"I'm an art's student.... would it be difficult for me?.
Plz rply",Negative
Coding is such a valuable skill to have these days.,Neutral
Coding is such a valuable skill to have these days.,Neutral
Coding is such a valuable skill to have these days.,Neutral
Anyone in 1947,Neutral
Hamari motivation wali Didi. May God bless you....!,Neutral
ha,Neutral
I'm,Neutral
"I'm a CA finalist my exam is due in November 25 but I'm here to learn coding. My aim is to learn databases and write queries in data bases in coding language to become a top notch Auditor. Which coding language i need to learn? And where to start it. 

Please suggest me",Positive
22/1/25,Neutral
How 8 years old can start coding,Positive
Anyone is here from class 10th,Neutral
class 4,Neutral
Java language skin vala kon hy❤❤,Neutral
AIDS  ENGINEERING  KE LIYE  CODING SIKHNI PADENGI,Neutral
C++ SE kya kr skty h,Neutral
Yes,Neutral
"Which is best for coding...... Under 40,000😅😅",Positive
Watching 😊,Neutral
"12th board ke bad me coding sikhunga kyuki mera interest h 😊
Web development
Motivate to hogya hu 
Discipline bna rhe bs 😂",Negative
I am from 2025,Neutral
Anyone in January 2025,Neutral
Didi  I am student clas8,Neutral
18 age attendance 😅,Neutral
Anyone in january 2025,Neutral
Art students  coding,Neutral
Ma'am can I start coding in my smartphone? If yes please recomend me some apps or websites.,Neutral
I thought coding and programming was different.,Neutral
Hello kya ap inbox ma bat kar sakti ha moja ap sa discussion karni ha apki in video k bara na,Neutral
Any one in 2025,Neutral
Why did you didn't prefer to select python first why c++ and Java why not python ?,Positive
Anyone in January 2025? 😅❤ Let's see 😉,Neutral
Anyone for job for learning coding language?,Neutral
Anyone In 2025,Neutral
I am from class 9,Neutral
Anyone 2025 😅,Neutral
Anyone 2025 😅,Neutral
Anyone in 2025 ?,Neutral
